"GDP per capita, current prices (Purchasing power parity; international dollars per capita)",1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Brazil,4817.188,4930.733,5152.984,5062.878,5408.597,5897.099,6341.153,6603.718,6729.604,7091.067,6843.679,7028.213,7039.027,7422.489,7860.568,8250.941,8342.747,8639.157,8631.408,8665.36,9114.217,9312.633,9623.739,9793.102,10510.545,11056.419,11711.223,12622.458,13383.877,13331.377,14359.919,15109.717,15120.059,15669.155,15800.05,14816.27,14326.073,14592.081,15016.535,15336.836,14562.827,15207.676,15733.611,16282.003,16866.078,17486.087
Brunei Darussalam,no data,no data,no data,no data,no data,55688.734,54157.953,53884.433,53833.868,56040.97,57122.495,59257.368,61895.949,62089.456,63643.856,66422.571,67886.241,66414.265,65102.387,66469.443,68193.888,69871.998,71293.189,73571.163,73800.71,76650.247,81096.879,82136.194,80982.202,79040.403,80659.868,84000.908,88311.695,84019.147,81806.01,62921.9,56638.26,60280.819,59960.216,61032.836,61815.986,65084.725,68525.341,71205.355,73819.773,76480.005
Bulgaria,5344.324,6141.808,6775.707,7234.153,7826.179,8213.141,8825.32,9481.326,10078.162,10466.747,9932.943,9242.306,8746.868,8005.758,7971.106,8099.19,7664.019,6741.406,7159.428,6693.016,7097.26,7776.335,8417.937,9067.447,9962.77,11068.294,12241.507,13463.091,14624.677,14312.274,14675.73,15706.296,16289.173,16626.266,17608.515,18404.104,20082.695,21525.919,22884.876,24246.999,23741.054,25412.918,26983.924,28523.23,30150.697,31823.213
Burkina Faso,376.154,412.874,433.773,434.271,445.587,498.604,535.066,532.934,568.6,587.874,590.291,648.024,646.684,666.61,671.238,704.865,775.102,815.261,860.233,910.582,921.941,976.159,1005.431,1072.468,1117.465,1215.57,1291.484,1339.74,1401.956,1411.127,1502.103,1586.572,1619.4,1683.107,1692.304,1713.519,1893.696,2053.505,2182.749,2281.734,2202.824,2272.956,2372.739,2477.928,2589.428,2708.202
Burundi,314.08,374.635,382.385,400.391,403.654,452.24,462.776,486.073,513.486,525.422,547.881,582.097,584.715,562.213,542.822,500.928,460.809,463.089,481.99,480.234,485.16,489.374,493.993,503.569,520.973,558.123,588.489,606.95,628.109,636.04,655.448,675.193,684.554,770.625,809.588,878.664,832.222,808.322,816.803,821.43,782.525,800.809,807.325,815.118,825.225,838.174
Cabo Verde,782.465,914.723,980.582,1093.602,1151.32,1263.435,1298.577,1359.559,1461.016,1570.526,1604.078,1642.705,1690.337,1812.882,1986.451,2124.179,2252.039,2409.083,2583.261,2869.738,3083.479,3279.406,3442.178,3703.269,3926.188,4221.391,4684.24,5192.553,5584.919,5497.408,5582.157,5858.663,5719.815,5699.689,5658.96,5902.507,6224.348,6535.051,7028.869,7470.816,6980.121,7366.227,7763.136,8259.591,8817.747,9435.159
Cambodia,no data,no data,no data,no data,no data,no data,no data,516.019,569.069,593.094,602.464,647.505,684.44,703.637,745.915,781.685,818.513,842.784,870.077,971.9,1065.393,1158.306,1230.681,1336.495,1489.633,1712.592,1925.829,2149.049,2305.049,2291.157,2418.334,2599.939,2868.826,3045.658,3186.276,3388.833,3674.174,3924.901,4258.052,4570.843,4441.016,4774.011,5138.234,5533.241,5964.961,6405.262
Cameroon,1172.62,1459.965,1621.774,1752.658,1900.469,2064.472,2188.692,2133.735,1977.272,1959.015,1849.525,1785.116,1717.763,1653.096,1598.602,1640.13,1704.474,1776.271,1832.878,1882.175,1938.349,2011.076,2071.454,2146.191,2289.319,2342.728,2429.07,2545.333,2612.225,2616.744,2671.061,2770.202,2859.124,3013.973,3204.873,3287.455,3439.753,3596.796,3739.299,3856.376,3709.8,3826.421,3962.99,4125.853,4322.8,4532.988
Canada,11811.175,13212.081,13419.73,14165.181,15397.141,16484.219,17009.216,17912.794,19106.392,19969.62,20437.593,20425.824,20828.585,21639.361,22848.657,23708.184,24278.61,25497.628,26561.307,28109.07,29948.823,30827.612,31912.903,32782.558,34380.257,36242.955,37940.238,39380.061,40120.824,38797.825,40013.186,41716.377,42351.123,44360.366,45811.988,44702.516,46554.186,48702.148,50185.742,51190.127,47568.773,50595.885,52680.866,54365.05,55835.213,57305.772
Central African Republic,441.695,530.053,529.356,504.528,561.08,584.452,617.831,620.062,640.232,676.882,696.834,698.633,663.522,655.139,735.486,756.933,707.225,732.673,749.601,766.734,741.513,763.749,778.77,762.758,769.682,803.037,851.367,892.914,916.614,931.512,967.042,1012.657,1102.13,738.466,720.351,787.043,851.014,912.808,955.87,985.154,972.093,1004.553,1052.936,1103.293,1156.283,1211.596
Chad,411.924,393.594,430.553,505.251,537.078,581.645,610.557,628.64,677.774,695.175,720.655,796.635,808.077,784.496,818.202,801.796,806.058,837.159,874.371,849.932,830.144,912.061,967.138,1087.359,1436.838,1547.157,1549.081,1587.919,1613.79,1638.312,1821.018,1799.697,1735.752,1574.013,1684.135,1820.077,1682.038,1600.064,1626.285,1654.192,1617.775,1703.512,1765.436,1815.01,1866.001,1920.431
