"GDP per capita, current prices (Purchasing power parity; international dollars per capita)",1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Montenegro,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,8277.436,8518.231,8782.701,9132,9772.914,10485.174,11718.159,12832.425,13998.91,13259.574,13751.795,14471.959,13863.936,14870.353,15371.392,16336.11,18197.604,19703.459,21207.89,22347.921,19930.514,21477.313,22762.835,23878.434,25049.017,26288.593
Morocco,1493.522,1549.237,1757.294,1773.848,1873.157,2006.908,2166.06,2113.063,2361.44,2455.03,2639.531,2870.252,2821.287,2815.8,3125.74,2974.384,3355.654,3313.32,3543.665,3584.085,3683.723,3986.095,4120.215,4388.44,4661.327,4900.808,5362.189,5628.626,6001.89,6225.953,6458.374,6854.591,6856.813,7090.594,6793.07,7244.166,7355.973,7583.18,7913.892,8147.747,7608.742,8078.47,8430.788,8812.273,9224.866,9668.66
Mozambique,200.786,225.269,217.599,186.757,178.065,183.614,182.291,214.52,240.758,265.551,274.69,295.495,274.751,299.708,314.293,317.274,348.769,384.341,416.51,460.103,463.542,516.56,557.626,590.406,636.277,680.614,743.5,799.631,850.442,885.876,927.912,989.146,1000.502,1047.826,1100.126,1248.075,1319.972,1245.03,1284.006,1301.686,1279.132,1300.1,1349.523,1453.954,1602.7,1770.749
Myanmar,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,801.518,869.18,985.731,1119.639,1237.824,1415.435,1664.605,1937.29,2247.866,2580.68,2811.63,2937.768,3106.263,3320.179,3654.072,3897.496,4130.258,4224.239,4141.472,4332.722,4684.948,5041.751,5178.951,5555.865,5969.212,6427.21,6934.842,7491.43
Namibia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,4081.692,4263.309,4592.689,4476.399,4570.85,4721.985,4814.038,4944.346,5004.793,5088.211,5316.211,5557.053,5924.547,6142.129,6614.1,7014.338,7379.872,7847.744,8091.007,8055.984,8514.331,8999.744,9511.583,9948.559,10641.534,10894.339,10601.934,10264.529,10387.504,10279.138,9537.314,9798.746,10040.458,10249.555,10421.135,10600.256
Nauru,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,3503.274,3645.35,4433.41,3483.481,4203.134,4543.136,4892.27,5473.584,5983.632,7646.289,9045.652,8973.014,8930.066,8342.686,9199.481,9858.464,9875.053,10023.266,10095.562,10159.607,10210.985,10266.756
Nepal,392.043,454.355,489.173,481.856,535.089,572.735,597.427,609.042,664.087,703.43,744.983,798.103,827.117,855.611,920.945,948.737,993.985,1041.019,1061.478,1103.443,1175.548,1247.788,1249.624,1304.304,1383.468,1457.545,1532.995,1608.393,1721.242,1798.355,1897.781,2001.628,2176.149,2349.625,2593.438,2633.395,2582.944,3099.306,3329.484,3581.082,3585.505,3707.64,3947.342,4174.639,4411.308,4662.454
Netherlands,11720.981,12658.372,13196.328,13901.955,14795.949,15605.163,16331.515,16945.139,18222.598,19664.89,21128.553,22202.856,22888.739,23555.891,24617.32,25692.203,26954.913,28471.81,29968.807,31716.595,33566.331,34830.696,35198.124,35714.643,37252.885,39085.223,41588.936,44252.644,45960.026,44394.481,45269.146,46703.305,47341.62,49314.469,49337.709,50418.735,52440.793,55509.264,57846.71,59693.365,57101.36,60549.879,62688.803,64708.925,66767.413,68923.773
New Zealand,8889.254,9965.901,10801.916,11104.856,12172.123,12587.254,12955.238,13479.073,13903.503,14515.077,15038.979,14820.124,15128.925,16058.044,17262.8,18117.404,18839.183,19487.976,19683.993,20743.51,21949.58,22768.243,23914.772,24989.2,26400.094,27600.814,28871.422,30521.664,30729.681,30757.435,31398.923,32416.962,32748.44,35462.75,37036.745,37050.567,39438.036,41161.254,42813.856,43809.037,41072.352,43290.075,44553.938,45791.526,46965.72,48088.936
Nicaragua,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,2193.929,2303.864,2427.921,2501.463,2571.731,2737.707,2855.866,2944.513,2953.151,3022.088,3203.178,3376.159,3585.079,3817.85,3973.747,3822.685,3986.944,4196.65,4363.384,4556.328,4897.516,5260.512,5672.494,5995.596,5836.234,5651.147,5439.496,5491.382,5680.818,5838.643,5994.965,6176.332
Niger,705.479,745.446,781.596,754.585,628.844,676.364,710.727,706.348,757.508,770.417,764.538,761.861,768.656,762.929,766.874,775.198,763.143,760.933,816.746,797.66,777.08,821.409,843.945,846.472,840.657,896.351,942.319,961.248,1016.561,1005.374,1062.689,1068.245,1158.669,1127.349,1142.517,1145.344,1148.475,1163.688,1229.808,1276.296,1252.633,1318.464,1458.921,1594.18,1668.984,1739.249
Nigeria,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,1829.122,1833.258,1868.456,1894.703,1892.347,1919.809,1984.165,2025.581,2047.843,2036.775,2142.879,2277.938,2585.887,2811.928,3108.578,3342.486,3580.555,3843.298,4090.274,4348.397,4765.343,4967.821,5000.032,5225.167,5507.167,5426.346,5234.686,5190.363,5278.839,5352.672,5065.544,5134.327,5225.309,5320.322,5423.755,5532.097
North Macedonia ,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,5993.684,5648.074,5636.022,5657.286,5789.807,5950.386,6190.886,6524.467,6946.208,6858.297,7051.301,7324.759,7849.851,8458.793,9139.649,9976.919,10709.495,10730.954,11195.741,11682.801,11908.504,12716.658,13423.774,13884.951,15127.586,15640.295,16438.792,17313.005,16609.317,17909.952,19048.857,20177.602,21344.859,22533.005
Norway,14816.177,16418.068,17408.04,18754.598,20550.296,22305.8,23590.638,24455.669,25119.466,26297.943,27699.969,29353.034,30912.874,32353.149,34526.115,36533.827,38870.928,41436.588,42738.708,43904.565,46041.787,47830.136,48987.156,50068.82,53152.249,55850.872,58416.649,61131.15,61761.512,60454.765,60766.919,61827.823,65100.984,66742.128,65647.112,60189.92,58735.939,62782.105,64706.977,66214.05,64856.456,68239,71078.302,73607.325,75939.702,78374.81
Oman,8976.5,10620.573,12573.711,14067.716,15495.102,18306.786,17883.595,16559.345,18042.5,18236.557,22642.506,23951.408,25653.7,26943.965,27697.931,28831.729,29480.678,31163.809,31746.411,31732.737,33967.26,35657.414,35235.417,34356.413,35121.985,36438.92,38785.228,40742.086,43987.749,45441.655,46836.936,47273.442,47377.302,44205.131,42054.182,35413.263,32316.601,32762.536,33555.761,33748.976,29908.056,29511.936,32367.435,33060.528,33782.135,34394.951
Pakistan,873.965,986.853,1094.69,1180.86,1237.525,1350.851,1427.096,1507.329,1618.553,1718.712,1812.382,1927.074,2034.135,2072.092,2153.616,2253.406,2386.952,2410.969,2464.346,2545.026,2643.643,2681.756,2753.827,2865.86,3101.93,3419.28,3659.586,3895.752,4005.281,3965.602,4030.264,4176.486,4206.745,4299.915,4446.138,4593.127,4639.469,4817.915,5110.764,5203.809,5160.187,5229.925,5436.359,5678.789,5964.585,6269.231
Palau,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,8272.479,8869.486,9258.195,9049.933,9667.478,10281.031,10606.401,11208.397,11013.564,10639.313,10980.413,12003.101,12666.395,12820.4,13869.24,14452.743,14365.041,14324.473,15840.122,15915.597,14158.703,13267.934,14747.406,16635.07,17087.456,17594.377
Panama,3534.704,4124.86,4506.169,4370.132,4545.906,4812.663,4974.48,4898.633,4300.581,4445.196,4883.908,5408.16,5859.756,6194.823,6374,6487.402,6949.199,7374.977,7843.435,8100.263,8338.416,8398.809,8552.268,8904.258,9644.56,10461.022,11484.259,12983.902,14285.143,14321.935,15074.306,16845.131,18596.284,20727.237,22827.399,25275.182,27828.763,30518.965,31933.017,33003.92,30034.14,31299.501,32793.272,34369.575,36057.006,37843.951
Papua New Guinea,1075.147,1159.063,1212.992,1275.133,1279.976,1334.843,1409.084,1505.958,1557.919,1529.454,1472.285,1617.571,1745.361,1974.084,2170.593,2083.629,2203.404,2045.883,2111.623,2128.204,2070.207,2062.311,2041.817,2214.306,2233.485,2345.191,2420.381,2618.406,2601.108,2736.277,2891.206,2830.28,2863.108,2960.225,3351.445,3627.481,3737.081,3861.506,3840.534,4018.153,3860.87,3911.428,4011.657,4121.599,4228.298,4356.611
Paraguay,3536.689,4103.419,4171.144,4080.417,4220.341,4390.896,4352.945,4499.504,4780.45,5095.197,5503.661,5529.706,5636.644,5933.928,6255.274,6685.724,6776.986,7042.595,6984.178,6848.476,6702.743,6665.817,6646.877,6937.766,7285.237,7542.467,8009.098,8528.888,9099.769,9001.719,9964.549,10442.629,9960.81,11004.341,11326.622,11357.709,11895.418,12437.522,12978.188,13021.816,12502.68,13297.714,14019.086,14673.596,15358.986,16068.023
Peru,3109.699,3501.734,3617.097,3328.008,3496.668,3599.26,4024.054,4344.287,3985.451,3510.503,3386.86,3508.26,3500.035,3700.119,4166.806,4488.431,4617.169,4916.23,4870.595,4935.166,5102.673,5170.553,5461.588,5716.846,6081.862,6581.425,7202.817,7933.24,8727.365,8787.042,9532.699,10243.019,10555.061,11088.231,11323.908,11412.041,11953.461,12541.914,13213.224,13327.299,11516.126,12503.247,13229.994,13988.201,14666.624,15367.858
Philippines,1949.479,2152.619,2310.514,2385.872,2235.532,2086.115,2148.555,2240.61,2421.419,2610.251,2726.662,2742.59,2751.17,2809.561,2923.067,3046.777,3121.759,3262.34,3198.684,3281.742,3486.107,3593.668,3707.888,3889.398,4172.937,4429.693,4716.667,5065.744,5293.41,5317.642,5676.222,5919.231,6359.805,6687.843,7045.232,7278.232,7788.953,8199.054,8794.108,9356.442,8573.704,9271.067,9893.37,10562.993,11288.007,12070.292
Poland,4816.139,4702.321,4707.62,5093.536,5212.905,5543.868,5817.12,6067.189,6481.328,6985.222,6663.212,6389.267,6650.362,7078.572,7592.688,8273.487,8943.948,9735.365,10329.87,10951.143,11796.003,12202.984,12578.843,13277.087,14345.224,15315.477,16761.391,18437.819,19600.269,20295.899,21336.338,22850.965,23832.817,24704.753,25608.139,26842.719,28285.845,30154.226,32526.716,34483.873,33738.709,36099.102,38439.732,40620.872,42669.45,44610.705
Portugal,6067.632,6816.284,7348.945,7675.272,7839.174,8196.999,8631.774,9522.922,10396.007,11538.731,12939.555,13859.889,14630.852,14856.371,15358.166,15986.543,16786.626,17748.073,18715.976,19616.729,20674.674,21387.441,21773.752,21889.358,22825.953,23677.114,24745.319,25995.883,26547.829,25890.54,26635.018,26769.433,26438.145,27936.013,28742.318,29668.81,31604.416,33086.082,34829.767,36246.015,33131.178,36128.289,38614.952,40547.273,42252.778,43923.259
Puerto Rico,6933.771,7608.168,7765.207,8035.193,8852.181,9231.255,10085.114,10731.553,11707.59,12627.762,13459.223,14142.972,15023.084,15979.408,16878.162,17877.218,18476.421,19547.857,20874.236,21911.359,22961.31,25631.524,26567.889,27677.432,28981.388,29332.524,29920.698,30545.743,30745.384,30541.049,30925.377,31824.12,32582.631,33172.653,33682.717,34006.721,34300.2,34896.419,35043.197,36749.669,34998.315,36863.173,38329.248,39557.325,40680.99,41855.005
Qatar,85248.218,82781.118,74917.021,68788.72,77499.435,65829.393,66308.665,65780.767,68523.296,72172.18,54689.529,54689.243,61201.698,61792.007,63924.855,64710.062,67164.458,84474.262,90611.063,91750.144,96676.96,100185.809,105667.97,106752.377,119789.304,116805.029,130806.74,133290.015,118421.3,127921.268,145582.908,163740.318,169698.495,161194.263,143222.077,97846.548,84268.899,91742.827,93880.235,95107.743,91897.103,96102.689,101350.725,104986.63,109478.222,114094.871
Romania,4958.336,5400.675,5929.852,6505.479,7115.704,7300.311,7585.968,7791.404,7983.94,7787.584,7616.496,6866.576,6432.079,6721.879,7179.142,7899.764,8408.775,8078.914,7815.415,7874.409,8293.98,8928.833,9857.279,10354.868,11800.581,12818.772,14351.228,15897.404,18139.968,17434.701,17071.368,17861.932,18895.824,19761.342,20577.685,21566.479,24244.391,27219.977,29279.103,31218.017,30140.998,32218.084,34066.318,35990.364,38019.08,40125.308
Russian Federation,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,12659.148,12393.292,10817.155,10102.357,9008.826,8827.932,8677.816,8967.992,8597.489,9316.566,10523.631,11352.708,12136.523,13328.288,14723.632,16213.831,18113.849,20204.307,21679.803,20122.947,21269.608,22783.519,24278.86,26044.835,25730.597,24062.468,24104.118,25999.309,27317.202,28184.124,27393.844,28791.92,30014.304,31251.748,32551.967,33846.812
Rwanda,442.96,479.21,478.377,507.895,580.389,604.526,628.966,620.97,622.834,590.24,600.715,576.599,628.246,614.127,393.26,529.526,608.614,679.477,682.184,645.222,722.414,761.757,851.544,822.257,877.312,967.519,1120.75,1204.195,1209.182,1295.76,1347.446,1470.327,1502.859,1566.504,1727.467,1824.761,1919.611,2005.479,2174.509,2362.728,2392.559,2541.119,2729.63,2950.628,3149.139,3331.359
Saint Kitts and Nevis,3121.444,3527.609,3994.687,4086.914,4669.927,5162.048,5775.028,6460.792,7435.767,8231.076,9008.851,9483.414,9913.923,10574.696,11242.614,11732.266,12511.023,13511.881,13657.128,14237.752,15776.333,16750.85,17008.174,16408.207,17280.408,19295.593,20256.233,20684.486,22133.303,21166.306,21051.573,21647.972,20382.113,20969.604,22629.785,22562.678,23464.717,23818.758,24849.939,25749.434,21028.058,22977.293,24584.836,25941.795,26872.55,27852.289
Saint Lucia,2450.068,2780.897,2976.326,3176.837,3505.763,4009.18,4608.748,4839.284,5623.106,6258.101,7059.404,7225.144,7851.776,8029.753,8168.012,8321.162,8580.493,8517.11,9016.692,9284.149,9356.785,9124.751,9235.548,9717.395,10584.745,10744.177,11613.911,12016.676,12698.359,12986.072,13120.646,13904.224,13662.858,14023.77,14213.305,13930.352,14633.124,15253.744,15907.146,16367.924,13707.865,14926.3,15989.165,16922.803,17453.402,18009.148
Saint Vincent and the Grenadines,1724.901,1944.433,2100.699,2236.15,2421.871,2586.861,2762.507,2830.448,3296.226,3519.504,3797.327,3982.149,4362.947,4627.702,4672.543,5095.979,5245.499,5536.85,5850.209,6061.113,6309.956,6560.126,7053.433,7702.379,8201.936,8629.56,9532.129,10071.112,10419.248,10268.035,10029.316,10185.708,10339.712,10794.746,11204.618,11552.087,12383.753,12201.783,12752.27,13018.786,12267.612,12986.908,13675.564,14410.01,15072.926,15772.873
Samoa,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,2657.709,2667.096,2851.657,3112.789,3321.513,3538.066,3722.082,4067.207,4252.382,4359.617,4571.693,4549.737,4684.837,4941.773,4789.244,4811.557,4865.965,5087.994,5489.298,5599.506,5560.193,5808.636,5546.988,5534.194,5731.43,5909.854,6099.814,6298.654
San Marino,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,74734.971,74942.003,67003.768,63043.514,58183.641,54797.229,53898.349,55875.218,56137.697,58102.788,59522.01,61666.901,63132.997,56689.548,61040.226,63757.274,65649.966,67075.763,68730.477
Saudi Arabia,44909.016,47724.574,38254.357,31781.197,29896.881,26495.612,30120.015,27444.394,30605.219,30136.981,34298.556,38836.565,38865.957,38497.922,38592.254,38538.938,39314.553,39465.115,40080.145,38191.234,40253.205,39664.268,38217.705,42263.644,45726.102,48144.647,49310.147,49875.879,52251.894,49875.945,51264.4,55917.991,57284.449,56015.961,56785.545,49637.135,46422.904,48014.574,49157.118,49216.192,46272.869,47804.838,49344.011,50507.69,51791.744,53134.909
Senegal,1011.798,1132.748,1261.464,1206.03,1259.013,1302.284,1329.276,1401.926,1399.723,1468.143,1469.691,1515.219,1526.928,1537.886,1526.962,1599.292,1619.835,1658.672,1735.068,1828.616,1884.201,1965.903,1961.686,2079.527,2204.702,2340.563,2407.339,2526.434,2609.137,2612.153,2662.686,2682.694,2764.784,2749.222,2830.699,2971.345,3075.934,3203.901,3393.202,3535.958,3462.819,3622.105,3800.082,4229.118,4532.369,4764.323
Serbia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,6144.454,6389.24,5714.866,6316.101,6788.547,7389.999,7880.013,8844.825,10076.648,10954.868,12022.205,13004.422,12796.823,13093.108,13742.301,13929.189,14624.104,14657.076,14922.097,15832.195,16599.408,17841.759,18971.851,18840.302,20392.971,22096.764,23605.857,25126.431,26754.225
Seychelles,4389.304,4562.489,4716.221,4876.631,5239.04,5912.942,6040.168,6221.481,6758.691,7699.977,8541.657,8954.243,9770.306,10510.939,10198.281,10309.926,11380.166,12836.476,13043.657,13217.522,13962.512,13932.474,14061.169,13469.666,13487.863,15091.503,16659.244,18792.733,18333.546,18197.219,18966.696,20947.836,21565.038,22369.391,23889.784,24138.251,25922.528,27643.69,29048.568,30429.91,26387.979,27856.869,29661.851,31378.042,33018.406,34689.312
Sierra Leone,783.607,852.925,902.822,902.229,945.258,891.643,890.89,914.679,946.185,1008.22,1046.73,989.026,914.185,940.412,998.534,918.509,702.07,585.439,580.883,531.596,549.134,639.499,786.269,835.952,875.873,908.461,944.762,1020.247,1070.52,1088.369,1134.085,1203.173,1405.478,1746.554,1787.656,1599.215,1678.271,1633.73,1694.222,1778.334,1710.85,1758.62,1826.266,1902.717,1983.46,2070.746
Singapore,9488.349,10969.161,11938.493,13293.562,14703.677,15053.666,15577.655,17422.598,19565.764,21750.435,23835.266,25552.027,27044.794,30088.209,33086.807,35129.53,36914.285,39332.069,37602.212,40007.606,43833.258,43136.354,45120.475,48756.577,54301.677,58717.055,63910.028,68628.442,67576.792,66148.973,75294.318,80052.391,82064.961,83001.788,84423.191,86974.748,89386.079,94940.971,100091.783,101458.096,95603.308,101408.889,104691.502,108143.147,111734.305,115445.206
Slovak Republic,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,8244.356,8892.823,9739.535,10584.301,11306.745,11880.81,12026.792,12426.923,13161.099,13971.785,15025.248,16253.355,17866.94,19970.147,22726.892,24447.423,23262.424,24842.851,26078.494,26949.653,27980.462,29005.988,29937.686,29676.378,30929.573,32859.368,34202.353,32184.304,35118.009,37403.202,39461.307,41276.471,43063.333
Slovenia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,11177.119,11821.413,12713.743,13510.717,14248.009,15250.704,15944.682,17094.223,18032.289,18998.122,19935.829,20896.57,22378.937,23938.48,26005.094,28467.954,30041.843,27681.646,28177.926,28968.844,29066.326,29990.161,30883.45,31646.795,33882.346,36659.547,39067.161,40716.545,38506.472,41384.018,43551.915,45580.949,47658.475,49708.491
Solomon Islands,967.828,1006.007,1016.185,1062.164,1068.306,1035.681,1024.013,1105.893,1127.397,1188.142,1225.022,1305.131,1462.37,1513.304,1624.12,1774.718,1785.594,1750.403,1744.149,1713.225,1461.354,1338.252,1286.872,1360.441,1452.804,1542.174,1626.643,1704.122,1796.536,1815.56,1951.451,2091.106,2125.131,2227.445,2240.948,2244.945,2350.033,2467.929,2570.281,2590.398,2442.086,2551.348,2640.622,2728.534,2804.775,2881.715
South Africa,4642.229,5219.223,5379.786,5347.49,5678.341,5651.858,5638.444,5774.309,6098.072,6350.02,6420.369,6413.043,6259.593,6328.125,6517.644,6717.54,7003.297,7191.656,7199.521,7365.841,7726.309,7965.564,8274.185,8592.776,9127.72,9794.835,10527.842,11240.975,11657.626,11394.215,11695.965,12143.167,12035.402,12436.191,12514.286,12547.663,12581.664,12681.715,12898.427,12961.702,11911.454,12351.454,12573.021,12799.793,13123.437,13487.683
"South Sudan, Republic of",no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,3100.981,1341.084,1577.529,1508.249,1361.585,1028.288,888.762,865.686,862.085,883.685,857.816,855.606,871.748,910.81,951.416
Spain,7827.613,8452.97,9038.043,9502.625,9972.946,10494.354,11041.108,11932.244,12978.272,14133.88,15200.204,16068.518,16519.928,16637.368,17342.609,18393.035,19139.038,20168.381,21232.421,22445.17,23904.637,25258.714,25939.783,26711.517,27848.439,29218.094,30844.618,32179.126,32558.746,31308.772,31593.848,31872.363,31724.63,32452.66,33544.355,34938.577,37350.761,39733.599,41608.067,43153.547,38143.189,41736.483,44185.087,46312.559,48315.673,49796.768
Sri Lanka,1051.413,1196.251,1320.017,1400.834,1532.509,1643.188,1730.897,1781.733,1875.523,1972.995,2151.33,2435.252,2385.333,2596.903,2838.61,3048.442,3458.117,3857.844,3817.598,3963.227,4366.493,4345.003,4543.098,4862.547,5222.616,5676.876,6250.565,6806.071,7301.517,7568.5,8219.98,9044.749,10315.18,10852.064,11260.65,11559.693,12224.216,12584.104,13173.483,13631.179,13113.611,14023.384,14889.536,15767.076,16714.342,17747.941
Sudan,1081.59,1222.107,1312.955,1306.813,1220.738,1217.412,1328.098,1409.426,1492.858,1534.453,1508.593,1620.095,1698.271,1734.888,1782.248,2051.714,2153.383,2275.468,2440.579,2529.742,2740.051,3026.593,3177.455,3347.852,3522.958,3748.03,4009.423,4242.932,4378.015,4180.604,4281.184,5197.992,3929.483,3934.82,4509.179,4488.449,4768.856,4420.187,4295.868,4140.286,3749.382,3763.408,3783.751,3856.321,3970.18,4124.5
Suriname,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,6529.874,5733.38,6021.034,5939.484,5575.021,6242.235,6984.707,7491.319,7650.317,7578.707,7648.103,8079.631,8413.239,9009.685,9751.066,10428.431,11234.879,11989.115,12555.09,12856.21,13496.582,14348.062,15773.417,16725.328,17091.745,15841.295,13939.971,16015.833,16626.76,16767.768,14605.037,14970.475,15352.733,15879.646,16469.551,16939.56
Sweden,10543.511,12057.661,12974.534,13755.052,14849.492,15646.433,16389.818,17282.681,18236.545,19299.776,20023.026,20345.248,20500.688,20477.566,21561.037,22824.722,23591.083,24726.017,26062.756,27539.914,29426.56,30417.638,31465.881,32663.061,34858.345,36823.079,39421.027,41554.569,41837.407,39962.773,42494.088,44450.32,45258.806,46098.791,46936.61,48857.878,50061.576,52413.085,54130.06,55264.967,52476.53,54953.055,57029.885,58890.811,60727.369,62654.007
Switzerland,17739.001,19631.787,20450.752,21256.392,22642.313,24106.008,24936.086,25805.975,27415.67,29503.854,31442.979,31845.277,32107.811,32518.838,33358.326,33995.818,34591.068,35910.307,37300.294,38313.59,40537.242,41761.477,42159.3,42633.786,44624.811,47142.665,50250.889,53362.366,54934.034,53353.363,54927.168,56493.25,58141.557,60504.295,62296.902,64275.496,66094.083,67401.85,70375.571,72008.017,68339.697,71493.157,73397.639,74891.303,76858.561,78444.652
Syria,2075.051,2381.478,2510.25,2564.928,2404.721,2573.663,2420.452,2428.937,2741.983,2589.827,2866.401,3185.718,3585.366,3834.047,4023.585,4221.128,4318.621,4243.068,4422.983,4241.734,4323.169,4459.072,4665.36,4522.013,4814.171,5104.52,5390.543,5707.769,5931.986,6177.252,6373.364,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data
São Tomé and Príncipe,1560.944,1502.02,1608.716,1569.744,1490.65,1637.109,1531.321,1481.386,1521.068,1583.604,1562.774,1589.424,1589.986,1626.413,1666.117,1702.985,1727.742,1742.637,1773.657,1811.307,1827.351,1880.484,1919.572,2041.236,2127.648,2292.215,2508.855,2585.445,2789.856,2811.979,2965.186,3089.646,3041.828,3409.17,3911.894,3904.929,3952.145,3975.025,4093.379,4141.425,3836.831,3948.678,4165.253,4336.065,4520.413,4716.774
Taiwan Province of China,3449.993,3971.617,4343.042,4848.411,5447.375,5815.221,6549.008,7483.861,8273.238,9253.729,10010.454,11104.099,12184.608,13200.877,14369.471,15492.797,16620.204,17750.631,18546.749,19932.275,21485.331,21524.269,22945.313,24268.481,26554.947,28753.161,31187.41,34097.183,34918.472,34493.29,38400.049,40532.641,41741.269,43435.454,45494.282,46910.952,47272.281,48500.845,50990.469,53274.545,54019.882,56959.286,59180.951,61482.925,63909.179,66459.4
Tajikistan,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,1464.419,1323.864,1056.454,933.671,898.517,915.628,955.947,976.626,1063.703,1176.909,1279.933,1408.458,1567.291,1688.829,1822.807,1974.94,2125.645,2176.815,2293.511,2458.602,2708.847,3004.451,3303.956,2958.106,3071.444,3070.049,3304.41,3543.752,3559.522,3784.006,3951.251,4109.772,4281.161,4463.981
Tanzania,580.725,619.387,641.387,661.662,687.643,719.66,759.349,799.829,838.918,877.473,943.82,963.363,957.82,959.39,963.933,989.839,1026.239,1054.81,1081.852,1123.909,1176.318,1241.361,1315.042,1392.183,1498.608,1612.975,1690.937,1830.896,1916.213,1977.12,2066.294,2210.068,2099.43,2194.768,2243.354,2348.069,2478.806,2527.809,2687.359,2840.653,2850.627,2931.099,3074.209,3235.61,3413.124,3604.663
Thailand,1577.873,1793.203,1968.06,2119.772,2280.9,2418.18,2556.536,2817.776,3247.846,3726.951,4255.84,4713.293,5212.954,5747.051,6281.291,6864.723,7304.124,7140.412,6589.589,6910.33,7302.909,7648.853,8179.41,8863.751,9608.545,10256.306,11024.838,11869.685,12244.806,12191.408,13195.364,13519.129,14870.976,15407.665,15480.207,15822.351,16618.767,17420.575,18520.778,19240.679,18072.851,19169.776,20339.948,21560.839,22888.297,24172.05
Timor-Leste,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,1250.084,1467.231,1371.047,1345.12,1363.758,1422.484,1377.757,1526.403,1692.888,1823.7,1964.525,2084.586,2320.057,2483.186,2721.052,2916.843,3140.871,3165.802,3153.835,3245.295,4031.491,3378.427,3373.315,3444.928,3450.588,3543.613
Togo,739.967,756.911,746.53,708.7,749.269,774.061,788.708,763.463,844.683,888.677,951.538,955.464,926.027,776.898,883.928,1053.158,1001.886,1025.579,981.598,989.413,972.456,974.622,1001.331,1061.184,1052.025,1007.658,1037.699,1025.044,1058.283,1095.263,1144.331,1210.142,1227.156,1275.325,1328.447,1397.333,1448.48,1511.038,1584.071,1656.782,1639.574,1684.364,1748.188,1823.708,1913.426,2008.442
Tonga,723.901,898.467,1070.336,1164.313,1720.114,1883.754,2101.847,2184.737,2171.755,2270.382,2453.795,2670.408,2614.428,2661.378,2779.561,3052.656,3100.973,3129.164,3224.052,3331.947,3520.181,3634.906,3842.544,3899.997,3913.343,4001.925,4016.015,4004.28,4265.579,4064.636,4134.864,4488.443,4610.652,4730.994,4941.729,5073.825,5519.317,5813.762,5978.842,6137.823,6074.052,5995.636,6355.373,6673.538,6976.635,7251.172
Trinidad and Tobago,6982.488,7867.894,8531.786,7826.559,7530.077,7351.412,7173.281,6949.895,6857.744,7016.735,7339.191,7772.724,8698.625,8795.918,9260.103,9777.899,10638.926,11615.377,12681.708,13872.709,15122.942,15969.785,17306.709,19975.139,21904.241,23800.247,27867.754,29699.578,31129.413,29707.562,30924.83,31320.799,30063.331,30059.712,29698.576,27510.33,26270.111,26447.818,26904.036,27283.072,25964.394,27088.421,28567.685,29455.767,30315.58,31214.745
